"Name","Team","G","PA","HR","R","RBI","SB","BB%","K%","ISO","BABIP","AVG","OBP","SLG","wOBA","xwOBA","wRC+","BsR","Off","Def","WAR","playerid"
"Joey Votto","CIN","91","376","11","31","41","0","11.7%","25.8%",".165",".257",".205",".319",".370",".310",".322","92","-4.1","-7.5","-13.3","-0.9","4314"
"Yuli Gurriel","HOU","146","584","8","53","53","8","5.1%","12.5%",".117",".266",".242",".288",".360",".285",".271","85","-0.8","-10.9","-16.3","-0.9","19198"
"Hunter Dozier","KCR","129","500","12","51","41","4","6.8%","25.0%",".152",".298",".236",".292",".387",".298",".301","90","-8.4","-14.1","-11.0","-1.0","15117"
"Spencer Torkelson","DET","110","404","8","38","28","0","9.2%","24.5%",".117",".255",".203",".285",".319",".272",".305","76","-3.2","-14.0","-8.2","-1.0","27465"
"Cristian Pache","OAK","91","260","3","18","18","2","5.8%","26.9%",".075",".220",".166",".218",".241",".207",".259","35","-1.7","-20.8","3.1","-1.0","19948"
"Leury Garcia","CHW","97","315","3","38","20","2","2.2%","20.6%",".057",".255",".210",".233",".267",".221",".258","39","2.2","-19.5","-0.9","-1.1","5913"
"Kole Calhoun","TEX","125","424","12","36","49","3","6.4%","32.1%",".134",".263",".196",".257",".330",".260",".294","67","-0.8","-16.7","-7.2","-1.1","11200"
"Franmil Reyes","- - -","118","473","14","43","47","2","6.3%","33.2%",".144",".307",".221",".273",".365",".280",".275","80","-2.7","-13.6","-12.4","-1.1","14566"
"Eddie Rosario","ATL","80","270","5","27","24","3","6.3%","25.2%",".116",".267",".212",".259",".328",".258",".250","62","1.3","-10.8","-8.9","-1.1","12155"
"Brad Miller","TEX","81","241","7","20","32","4","7.5%","29.0%",".108",".274",".212",".270",".320",".263",".269","69","-1.1","-9.6","-8.9","-1.1","12775"
"Jonathan Villar","- - -","59","220","3","25","18","7","6.8%","26.8%",".094",".275",".208",".260",".302",".250",".247","58","2.2","-8.4","-11.6","-1.3","10071"
"Elias Diaz","COL","105","381","9","29","51","0","6.6%","21.5%",".140",".270",".228",".281",".368",".284",".274","67","-3.9","-18.6","-7.8","-1.4","11680"
"Miguel Cabrera","DET","112","433","5","25","43","1","6.5%","23.3%",".063",".324",".254",".305",".317",".275",".275","79","-5.4","-15.8","-11.8","-1.5","1744"
"Robinson Chirinos","BAL","67","220","4","10","22","1","8.6%","30.5%",".108",".248",".179",".265",".287",".251",".245","61","-1.2","-10.9","-11.4","-1.6","3142"
